TIME;Poland
1995;305683.00
1996;381615.00
1997;462705.00
1998;540613.00
1999;595994.00
2000;667508.00
2001;698576.00
2002;719112.00
2003;749286.00
2004;829566.00
2005;873226.00
2006;941223.00
2007;1038360.00
2008;1126401.00
2009;1221462.00
2010;1267828.00
2011;1374078.00
2012;1436474.00
2013;1451790.00
2014;1515422.00
2015;1606480.00
2016;1648760.00
2017;1754526.00
2018;1883514.00
2019;2036872.00
2020;2084829.00
2021;2320410.00
2022;2766246.00
2023;3085935.00
2024;3249214.00