TIME;YEAR;QUARTER;QGVA
1995-Q1;1995;1;185687.50
1995-Q2;1995;2;199760.90
1995-Q3;1995;3;212717.60
1995-Q4;1995;4;227539.50
1996-Q1;1996;1;201061.50
1996-Q2;1996;2;216491.70
1996-Q3;1996;3;222789.20
1996-Q4;1996;4;231167.80
1997-Q1;1997;1;212303.80
1997-Q2;1997;2;225182.70
1997-Q3;1997;3;228170.30
1997-Q4;1997;4;255581.20
1998-Q1;1998;1;224077.80
1998-Q2;1998;2;232762.30
1998-Q3;1998;3;237958.10
1998-Q4;1998;4;267332.70
1999-Q1;1999;1;227499.80
1999-Q2;1999;2;240654.70
1999-Q3;1999;3;249791.50
1999-Q4;1999;4;287079.30
2000-Q1;2000;1;241076.10
2000-Q2;2000;2;254602.10
2000-Q3;2000;3;255551.60
2000-Q4;2000;4;298209.50
2001-Q1;2001;1;248955.00
2001-Q2;2001;2;255943.80
2001-Q3;2001;3;261249.30
2001-Q4;2001;4;297257.20
2002-Q1;2002;1;253144.10
2002-Q2;2002;2;261965.50
2002-Q3;2002;3;267070.70
2002-Q4;2002;4;300537.00
2003-Q1;2003;1;259285.70
2003-Q2;2003;2;270154.70
2003-Q3;2003;3;277745.30
2003-Q4;2003;4;311722.70
2004-Q1;2004;1;276308.00
2004-Q2;2004;2;287892.80
2004-Q3;2004;3;287354.50
2004-Q4;2004;4;328033.70
2005-Q1;2005;1;281870.80
2005-Q2;2005;2;300048.30
2005-Q3;2005;3;296505.90
2005-Q4;2005;4;337925.60
2006-Q1;2006;1;305087.90
2006-Q2;2006;2;315684.00
2006-Q3;2006;3;318554.70
2006-Q4;2006;4;352178.50
2007-Q1;2007;1;328059.30
2007-Q2;2007;2;332883.70
2007-Q3;2007;3;334515.90
2007-Q4;2007;4;383857.00
2008-Q1;2008;1;344849.00
2008-Q2;2008;2;350128.50
2008-Q3;2008;3;345085.30
2008-Q4;2008;4;396538.70
2009-Q1;2009;1;351095.80
2009-Q2;2009;2;354757.90
2009-Q3;2009;3;357475.30
2009-Q4;2009;4;414742.90
2010-Q1;2010;1;359981.90
2010-Q2;2010;2;366090.60
2010-Q3;2010;3;368878.50
2010-Q4;2010;4;429162.20
2011-Q1;2011;1;373255.00
2011-Q2;2011;2;385572.60
2011-Q3;2011;3;392485.10
2011-Q4;2011;4;451985.20
2012-Q1;2012;1;384601.30
2012-Q2;2012;2;391855.40
2012-Q3;2012;3;396815.70
2012-Q4;2012;4;451541.30
2013-Q1;2013;1;381646.00
2013-Q2;2013;2;395910.50
2013-Q3;2013;3;401009.30
2013-Q4;2013;4;456114.00
2014-Q1;2014;1;397818.60
2014-Q2;2014;2;409292.50
2014-Q3;2014;3;415962.90
2014-Q4;2014;4;474216.60
2015-Q1;2015;1;411758.20
2015-Q2;2015;2;425195.40
2015-Q3;2015;3;435505.40
2015-Q4;2015;4;502356.80
2016-Q1;2016;1;423595.00
2016-Q2;2016;2;439820.00
2016-Q3;2016;3;443635.60
2016-Q4;2016;4;519193.40
2017-Q1;2017;1;451199.40
2017-Q2;2017;2;460109.90
2017-Q3;2017;3;468440.70
2017-Q4;2017;4;537951.80
2018-Q1;2018;1;478499.80
2018-Q2;2018;2;490771.00
2018-Q3;2018;3;500068.60
2018-Q4;2018;4;568062.90
2019-Q1;2019;1;502194.00
2019-Q2;2019;2;515106.70
2019-Q3;2019;3;523544.40
2019-Q4;2019;4;587840.00
2020-Q1;2020;1;515596.80
2020-Q2;2020;2;475485.30
2020-Q3;2020;3;515651.80
2020-Q4;2020;4;578095.20
2021-Q1;2021;1;515192.20
2021-Q2;2021;2;527903.60
2021-Q3;2021;3;549046.20
2021-Q4;2021;4;630897.00
2022-Q1;2022;1;563631.00
2022-Q2;2022;2;558489.00
2022-Q3;2022;3;582879.00
2022-Q4;2022;4;639328.60
2023-Q1;2023;1;563232.90
2023-Q2;2023;2;558446.00
2023-Q3;2023;3;591790.90
2023-Q4;2023;4;661423.00
2024-Q1;2024;1;569280.20
2024-Q2;2024;2;581442.00
2024-Q3;2024;3;593521.20
2024-Q4;2024;4;679844.60
2025-Q1;2025;1;581062.20
2025-Q2;2025;2;594051.50
2025-Q3;2025;3;: